Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom
7.587,1.397,1.35,0.941,0.666
7.561,1.302,1.402,0.948,0.629
7.527,1.325,1.361,0.875,0.649
7.522,1.459,1.331,0.885,0.67
7.427,1.326,1.323,0.906,0.633
7.406,1.29,1.318,0.889,0.642
7.378,1.329,1.28,0.893,0.616
7.364,1.332,1.289,0.911,0.66
7.286,1.25,1.32,0.908,0.639
7.284,1.334,1.309,0.932,0.651
7.278,1.229,1.224,0.914,0.413
7.226,0.956,1.238,0.86,0.634
7.2,1.337,1.297,0.89,0.624
7.187,1.021,0.915,0.814,0.482
7.119,1.395,1.247,0.862,0.546
6.983,0.981,1.233,0.697,0.49
6.946,1.564,1.22,0.919,0.616
6.94,1.336,1.369,0.895,0.618
6.937,1.308,1.286,0.897,0.584
6.901,1.427,1.126,0.809,0.642
6.867,1.266,1.285,0.909,0.596
6.853,1.36,1.082,0.763,0.633
6.81,1.044,1.256,0.721,0.429
6.798,1.522,1.02,1.025,0.543
6.786,1.064,1.198,0.797,0.542
6.75,1.328,1.299,0.892,0.615
6.67,1.107,1.124,0.859,0.441
6.611,1.69,1.079,0.797,0.64
6.575,1.278,1.26,0.946,0.55
6.574,1.054,1.248,0.787,0.45
6.505,1.179,1.206,0.845,0.464
6.485,1.062,1.209,0.812,0.604
6.477,0.919,1.24,0.691,0.535
6.455,0.967,1.265,0.738,0.557
6.411,1.395,1.084,0.72,0.31
6.329,1.23,1.314,0.956,0.46
6.302,1.207,1.302,0.887,0.604
6.298,1.291,1.076,0.875,0.397
6.295,1.554,1.166,0.725,0.555
6.269,0.995,0.972,0.608,0.597
6.168,1.212,1.184,0.615,0.559
6.13,0.765,1.025,0.677,0.404
6.123,0.746,1.044,0.644,0.577
6.003,0.632,1.34,0.598,0.658
5.995,1.169,1.27,0.789,0.318
5.987,1.271,1.257,0.991,0.496
5.984,1.245,0.958,0.965,0.332
5.975,0.864,0.999,0.791,0.486
5.96,1.324,1.216,0.747,0.455
5.948,1.251,1.198,0.954,0.262
5.89,0.681,0.978,0.539,0.574
5.889,0.594,1.015,0.618,0.328
5.878,0.76,1.305,0.661,0.539
5.855,1.123,1.122,0.644,0.516
5.848,1.185,1.274,0.873,0.609
5.833,1.147,1.257,0.731,0.213
5.828,0.593,1.142,0.743,0.555
5.824,0.9,0.975,0.73,0.415
5.813,1.032,1.233,0.736,0.379
5.791,1.126,1.279,0.779,0.531
5.77,1.125,1.07,0.724,0.53
5.759,1.083,0.796,0.788,0.259
5.754,1.131,1.119,0.704,0.417
5.716,1.138,1.236,0.669,0.367
5.709,0.81,1.151,0.687,0.504
5.695,1.208,1.07,0.924,0.49
5.689,1.208,0.893,0.924,0.407
5.605,0.939,1.078,0.618,0.286
5.589,0.801,0.812,0.631,0.247
5.548,0.958,1.227,0.539,0.476
5.477,1.008,0.985,0.71,0.561
5.474,1.386,1.058,1.013,0.596
5.429,1.152,1.228,0.774,0.449
5.399,0.828,1.087,0.638,0.466
5.36,0.632,0.912,0.747,0.594
5.332,1.061,0.946,0.732,0.228
5.286,0.474,1.151,0.651,0.435
5.268,0.654,0.904,0.16,0.343
5.253,0.77,1.104,0.574,0.532
5.212,1.024,0.938,0.64,0.37
5.194,0.595,0.414,0.515,0.121
5.192,0.902,1.054,0.696,0.407
5.192,0.974,0.906,0.725,0.183
5.14,0.89,0.947,0.817,0.517
5.129,0.47,0.916,0.299,0.488
5.124,1.043,0.886,0.769,0.351
5.123,0.921,1.01,0.748,0.201
5.102,1.16,1.139,0.875,0.515
5.098,1.113,1.096,0.724,0.297
5.073,0.705,1.035,0.581,0.625
5.057,0.188,0.952,0.439,0.466
5.013,0.735,0.641,0.61,0.417
5.007,0.919,1.002,0.735,0.335
4.971,0.083,1.026,0.091,0.34
4.959,0.879,0.804,0.813,0.357
4.949,0.832,0.919,0.791,0.092
4.898,0.375,1.041,0.076,0.318
4.885,0.895,1.172,0.668,0.577
4.876,0.591,0.738,0.549,0.596
4.874,0.828,1.301,0.603,0.436
4.867,0.712,1.073,0.076,0.307
4.857,1.154,0.929,0.882,0.077
4.839,1.026,0.8,0.839,0.339
4.8,1.121,1.202,0.759,0.321
4.788,0.595,0.953,0.695,0.401
4.786,0.39,0.856,0.574,0.472
4.739,0.881,0.604,0.738,0.263
4.715,0.599,0.926,0.66,0.245
4.694,0.398,0.431,0.602,0.408
